ID;Ort;Land;Hoehenlage;TJANUAR;TFEBRUAR;TMRZ;TAPRIL;TMAI;TJUNI;TJULI;TAUGUST;TSEPTEMBER;TOKTOBER;TNOVEMBER;TDEZEMBER;NJANUAR;NFEBRUAR;NMRZ;NAPRIL;NMAI;NJUNI;NJULI;NAUGUST;NSEPTEMBER;NOKTOBER;NNOVEMBER;NDEZEMBER;Laengengrad;Breitengrad;Referenzzeitraum
42515;Cherrapunji;India;1300;11.3;13.1;16.5;18.3;19.6;20.2;20.4;20.9;20.4;19.4;16.5;13;15;43;249;603;1000;2604;2936;1749;1048;435;49;23;91.73;25.25;R1
80144;Quibdo(ElCaranoAirp.);Colombia;53;26.1;25.8;26.3;26.8;26.3;26.1;25.3;25.7;25.8;25.5;25.9;25.8;558;486;513;605;704;754;770;868;688;621;695;648;-76.64;05.69;R1
47663;Owase;Japan;27;5.7;6.3;9.1;14.2;17.9;21.3;24.9;26;22.9;17.6;12.8;8;99;129;216;393;339;464;449;552;658;356;249;100;136.20;34.07;R1
61832;Conakry;Guinea;26;25.9;26.3;26.8;27.6;27.5;26.5;25.4;25.1;25.5;26.1;26.7;26.4;1;2;3;21;130;417;1121;1072;656;291;79;10;-13.61;09.56;R1
65660;RobertsField;Liberia;18;25.9;26.5;27;27;26.7;25.5;24.6;24.4;25;25.7;26.2;25.9;21;34;70;133;232;472;551;602;621;326;148;51;-10.35;06.25;R1
48112;Kawthaung;Myanmar;47;26.5;27.4;28.2;29;27.7;26.5;26.5;26.2;26.2;26.4;26.5;26.1;19;15;21;77;456;617;560;665;606;304;131;27;98.55;09.98;R1
98328;Baguio;Philippines;1501;16.8;17.6;18.4;19.6;19.5;19.1;18.8;18.5;18.6;18.8;18.5;17.7;13;15;31;106;273;496;711;825;591;334;133;26;120.60;16.40;R1
76741;Coatzacoalcos;Mexico;16;22.5;22.4;25;26.8;28.3;28.2;27.8;27.9;27;26.1;24.6;23.1;106;80;36;45;117;247;232;352;559;435.6;228;253;-94.51;18.14;R1
61873;Makeni;SierraLeone;84;26.2;27.5;28.6;28.7;28;27;26;25.4;26.3;26.7;27;26.2;6;7;38;92;223;382;496;641;552;412;205;27;-12.05;08.90;R1
61866;Bonthe;SierraLeone;7;27;27.7;28.1;28.3;27.6;26.5;25.8;25.7;26.2;26.6;27.1;27.1;11;7;21;97;288;571;806;724;548;357;150;61;-12.50;07.53;R1
48062;Sittwe;Myanmar;5;21.3;22.4;25.9;28.3;28.9;27.4;26.7;26.8;27.6;27.6;25.5;22.5;7;11;6;42;272;1135;1104;968;525;297;84;14;92.88;20.13;R1
61856;Lungi;SierraLeone;27;26.5;27.1;27.4;27.9;27.3;26.2;25.4;25.2;25.7;26.1;26.8;26.5;3;4;9;47;196;362;657;735;506;309;125;23;-13.20;08.61;R1
64971;Kribi;Cameroon;16;27;27.7;27.4;27.3;26.9;25.9;25.2;25;25.1;25.8;26.4;26.7;77;85;170;228;296;297;138;226;490;470;180;66;09.90;02.95;R1
64890;Mamfe;Cameroon;126;25.6;27.2;27.9;27.8;27.3;26.5;25.6;25.4;25.9;26.5;26.4;25.8;18;57;157;224;272;373;479;465;489;416;93;29;09.28;05.71;R1
